05/04/2022 12:07:42 distance: 25.907647225515436
05/04/2022 12:07:43 Pilot control
05/04/2022 12:07:43 Pilot control
05/04/2022 12:07:43 distance: 25.97860621950169
05/04/2022 12:07:44 Pilot control
05/04/2022 12:07:44 Pilot control
05/04/2022 12:07:44 distance: 26.074006974727887
05/04/2022 12:07:45 Pilot control
05/04/2022 12:07:45 Pilot control
05/04/2022 12:07:45 distance: 26.1817524057634
05/04/2022 12:07:46 Pilot control
05/04/2022 12:07:46 Pilot control
05/04/2022 12:07:46 distance: 26.237193793863373
05/04/2022 12:07:47 Pilot control
05/04/2022 12:07:47 Pilot control
05/04/2022 12:07:47 distance: 26.30197349050333
05/04/2022 12:07:48 Pilot control
05/04/2022 12:07:48 Pilot control
05/04/2022 12:07:48 distance: 26.345189056273057
05/04/2022 12:07:49 Pilot control
05/04/2022 12:07:49 Pilot control
05/04/2022 12:07:49 distance: 26.39768432827661
05/04/2022 12:07:50 Pilot control
05/04/2022 12:07:50 Pilot control
05/04/2022 12:07:50 distance: 26.434750813621026
05/04/2022 12:07:51 Pilot control
05/04/2022 12:07:51 Pilot control
05/04/2022 12:07:51 distance: 26.50577138522538
05/04/2022 12:07:52 Pilot control
05/04/2022 12:07:52 Pilot control
05/04/2022 12:07:52 distance: 26.552099728516772
05/04/2022 12:07:53 Pilot control
05/04/2022 12:07:53 Pilot control
05/04/2022 12:07:53 distance: 26.592236467754894
05/04/2022 12:07:55 Pilot control
05/04/2022 12:07:55 Pilot control
05/04/2022 12:07:55 distance: 26.663260490708257
05/04/2022 12:07:56 Pilot control
05/04/2022 12:07:56 Pilot control
05/04/2022 12:07:56 distance: 26.706455202594288
05/04/2022 12:07:57 Pilot control
05/04/2022 12:07:57 Pilot control
05/04/2022 12:07:57 distance: 26.734218661145313
05/04/2022 12:07:58 Pilot control
05/04/2022 12:07:58 Pilot control
05/04/2022 12:07:58 distance: 26.771256619462065
05/04/2022 12:07:59 Pilot control
05/04/2022 12:07:59 Pilot control
05/04/2022 12:07:59 distance: 26.799050049807583
05/04/2022 12:08:00 Pilot control
05/04/2022 12:08:00 Pilot control
05/04/2022 12:08:00 distance: 26.802152611343093
05/04/2022 12:08:01 Pilot control
05/04/2022 12:08:01 Pilot control
05/04/2022 12:08:01 distance: 26.81453847376409
05/04/2022 12:08:02 Pilot control
05/04/2022 12:08:02 Pilot control
05/04/2022 12:08:02 distance: 26.848521092135844
05/04/2022 12:08:03 Pilot control
05/04/2022 12:08:03 Pilot control
05/04/2022 12:08:03 distance: 26.870106199181986
05/04/2022 12:08:04 Pilot control
05/04/2022 12:08:04 Pilot control
05/04/2022 12:08:04 distance: 26.885537557487545
05/04/2022 12:08:05 Pilot control
