29/03/2022 14:04:36 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:04:36 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:04:36 ChibiOS: 45395b6a
29/03/2022 14:04:36 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:36 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:37 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:38 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:39 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:40 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:41 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:42 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
29/03/2022 14:05:43 Pilot control + Computer
